,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
77,Aother,wt,5,5.901563121,3.076054935,1.375653587,Solyc01g006330,2.561097125,wt.Solyc01g006330
78,Bmbr,tf2,3,31.37063253,46.99778668,27.13418479,Solyc01g006330,4.971342713,tf2.Solyc01g006330
79,Bmbr,wt,4,2.021056396,0.927948646,0.463974323,Solyc01g006330,1.01510958,wt.Solyc01g006330
80,Bother,tf2,4,6.061667491,0.71899891,0.359499455,Solyc01g006330,2.599714716,tf2.Solyc01g006330
81,Bother,wt,4,2.197337706,1.419769233,0.709884616,Solyc01g006330,1.135756613,wt.Solyc01g006330
82,Cmbr,tf2,4,3.018493628,3.669775425,1.834887712,Solyc01g006330,1.593828755,tf2.Solyc01g006330
83,Cmbr,wt,6,3.389706351,4.468032196,1.824066506,Solyc01g006330,1.761160299,wt.Solyc01g006330
84,Cother,tf2,4,9.734272087,4.870146955,2.435073477,Solyc01g006330,3.283073101,tf2.Solyc01g006330
85,Cother,wt,3,3.410859641,2.535979684,1.464148553,Solyc01g006330,1.770135388,wt.Solyc01g006330
86,Ambr,tf2,4,46.7159896,7.78344791,3.891723955,Solyc01g006890,5.545844524,tf2.Solyc01g006890
87,Ambr,wt,3,67.58532443,12.39753244,7.157718691,Solyc01g006890,6.078638107,wt.Solyc01g006890
88,Aother,tf2,4,33.87327707,11.97962138,5.989810688,Solyc01g006890,5.082075662,tf2.Solyc01g006890
89,Aother,wt,5,58.00737261,21.05518091,9.41616316,Solyc01g006890,5.85816437,wt.Solyc01g006890
90,Bmbr,tf2,3,34.43173938,23.58149551,13.61478278,Solyc01g006890,5.105667158,tf2.Solyc01g006890
91,Bmbr,wt,4,58.53243089,19.2717509,9.635875452,Solyc01g006890,5.871164291,wt.Solyc01g006890
92,Bother,tf2,4,44.08808764,14.60730753,7.303653763,Solyc01g006890,5.462316995,tf2.Solyc01g006890
93,Bother,wt,4,33.73304667,16.86956674,8.434783369,Solyc01g006890,5.076090719,wt.Solyc01g006890
94,Cmbr,tf2,4,33.53439972,9.245379687,4.622689843,Solyc01g006890,5.067569872,tf2.Solyc01g006890
95,Cmbr,wt,6,65.47476268,29.51453561,12.04925871,Solyc01g006890,6.03286702,wt.Solyc01g006890
96,Cother,tf2,4,40.21293167,7.218519182,3.609259591,Solyc01g006890,5.329587613,tf2.Solyc01g006890
