"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"1790" "tf2" "Solyc03g045140" -0.521829036965893 -0.269923020937149 2.02121884360035 -0.208619259919353 -0.460807363536164 -0.560040162241794 1.9145889404253 -0.400799713949593 0.0113605737535633 0.265312494301634 -0.14583219340589 -4.44089209850063e-16 8 0.464965952357028
"1791" "tf2" "Solyc03g046203" -0.468465612943577 -1.05095685963491 -0.702264422093855 0.105147593697638 0.375653723559455 1.74088557741525 -1.59166420561043 -0.582817299806471 -0.413598298730637 -0.981662825786228 -0.391025262115125 -8.88178419700125e-16 9 2.29977313908026
"1792" "tf2" "Solyc03g046205" -0.412883843910924 -0.404284387606574 2.04057047138979 -0.394480919490689 -0.375842379978343 -0.453078940403265 1.90099497464947 -0.327223027384833 -0.220472804742553 0.112299104711182 -0.118579893361711 -1.11022302462516e-16 8 0.0386923512408314
"1793" "tf2" "Solyc03g046420" 1.71553502562307 -0.930284218539791 0.385960477570173 -0.194631139504421 -1.00200676878733 0.0254266236382955 0.131835251670384 1.5085322799485 -1.02512868574753 0.710163404593872 -0.955675949645394 2.27595720048157e-15 8 3.79803285413802
"1794" "tf2" "Solyc03g046450" -0.414002009979404 -0.397129840068743 2.04069553815121 -0.407541877586306 -0.375644000103002 -0.446377810413755 1.89945066991637 -0.328685358709515 -0.228082522905088 0.112219686159448 -0.104242906098764 -5.55111512312578e-17 8 0.0245654282602269
"1795" "tf2" "Solyc03g046455" -0.430283289119918 -0.329288348459156 2.0391258623721 -0.457070124027544 -0.386361879624786 -0.436122221140692 1.89970659397746 -0.33669404329279 -0.231428479645672 0.138085065508729 -0.0217887287432755 -3.33066907387547e-16 8 0.0391587581581876
"1796" "tf2" "Solyc03g046580" -0.450610469958474 -0.161178545141207 2.02572060093216 -0.477970205150181 -0.446067705225537 -0.489893675456759 1.91753150593135 -0.323876284466621 -0.15438799026918 0.257025400393434 0.101429398552329 -3.33066907387547e-16 6 1.2502543804526
"1797" "tf2" "Solyc03g046596" -0.420547832262382 -0.369150107434577 2.04077434526234 -0.405510606366907 -0.413344191627167 -0.432221607571312 1.8902661395896 -0.34540313666695 -0.231467910171102 0.155428161216242 -0.0897765603262334 -3.33066907387547e-16 8 0.157700488781946
"1798" "tf2" "Solyc03g051620" -0.846038991083922 0.135256767711378 1.73482928738247 -0.581333921721649 0.419090297952879 -0.861803440241157 1.93576921003631 -0.233617776839241 0.545934514430775 -0.44277803639709 0.588973237658166 -3.88578058618805e-16 7 1.13534043536765
"1799" "tf2" "Solyc03g051640" -0.368000219598214 -0.860143946076315 0.490662580053569 0.566707908585605 1.41734757084081 -1.24657389380545 0.961792737130723 0.601733843919746 1.43325402800369 -1.48042226645562 -0.722276702362377 8.88178419700125e-16 4 3.07841742745126
"1800" "tf2" "Solyc03g051727" -0.421553054584706 -0.404100962240516 2.0399870668834 -0.411520636141292 -0.347345678402951 -0.455466735513934 1.90574207254602 -0.325816520960261 -0.217817175973569 0.0831961775713906 -0.101112815813786 -1.11022302462516e-16 8 0.0578336976570383
"1801" "tf2" "Solyc03g051790" -1.41025341648416 -0.859832209856832 -0.264169727988298 0.732013325247708 0.755851346392537 1.04639068268904 -0.897613862085565 -1.19938864597384 0.685007681772861 -1.20764320724984 -0.515063799628321 -1.88737914186277e-15 3 1.50281126811453
"1802" "tf2" "Solyc03g051905" -0.395629903684739 -0.363070070612086 2.04014842311209 -0.39340802618155 -0.430350104704256 -0.457690317929457 1.89983333749121 -0.317788262087189 -0.221757211371673 0.180463104556667 -0.102716107921152 -2.77555756156289e-16 8 0.0404245178363188
"1803" "tf2" "Solyc03g051920" 0.275483678531053 -0.487590583763291 1.69650378865718 -0.487765389232574 0.234380239660588 -1.23101173385295 2.03929582531065 0.788498969392392 0.128700475495161 -0.330765532044852 -0.175446122480624 3.33066907387547e-16 8 0.930139955903526
"1804" "tf2" "Solyc03g051950" -0.45013884550691 -0.761958421998561 1.72323939090817 -0.456473117574244 0.69286627720425 -0.747535283032704 1.84818122012471 0.0247095812759793 0.145799334458922 -0.983701440852837 -0.144754296871497 -5.55111512312578e-17 8 0.660723591548315
"1805" "tf2" "Solyc03g053020" 0.434829323013939 -1.30282180737637 1.12023551551799 0.863273655090632 -0.0621672588491961 -1.05334942739699 1.25351550855822 0.695869651918938 0.484156978927078 -0.182659788180261 -1.65618019193426 8.88178419700125e-16 8 2.11735890744973
"1806" "tf2" "Solyc03g053027" -0.249296757900873 -0.514006891109807 2.03196054196951 -0.378742227767923 -0.49674858434327 -0.393166080847633 1.84913013841458 -0.244224361327888 -0.372409665664795 0.195990336143178 -0.251477180955167 1.11022302462516e-16 8 1.12364761744049
"1807" "tf2" "Solyc03g053105" -0.397167440427543 -0.469655717951817 -0.836407327761089 -0.240352053767796 1.96566718234421 -0.0220846424359655 -0.658421488751392 0.635531024335981 0.996452378234445 -2.07273842346691 0.372232288446665 2.77555756156289e-17 2 1.6153599566156
"1808" "tf2" "Solyc03g058360" -0.589347266882286 0.175705819774263 1.94999916319136 -0.457089170451731 -0.421397812851628 -0.657870732779973 1.94491504884246 -0.325413890009844 0.151949813989719 0.366982929638977 0.348508114868362 -6.10622663543836e-16 7 1.52967159460986
"1809" "tf2" "Solyc03g058430" 1.79241183553657 -0.601818793094197 -0.91570988619949 0.369751079498338 0.0255742780337522 -0.670208513774972 -0.630971364886569 2.33056601967514 0.380332020412348 0.0549709538236776 -0.89015260090212 2.88657986402541e-15 1 2.38340317483047
"1810" "tf2" "Solyc03g058550" -0.454768454848904 -0.322675561484862 2.03876495062324 -0.382349472347721 -0.436563732820951 -0.442407729120805 1.89073875407647 -0.373640781116171 -0.189097709733461 0.194667627232929 -0.0702379604304333 -2.77555756156289e-16 8 0.0580627021397851
