"ITAG","cluster"
"Solyc01g067860",3
"Solyc01g068170",5
"Solyc01g068190",3
"Solyc01g068410",2
"Solyc01g068420",3
"Solyc01g068460",1
"Solyc01g068500",3
"Solyc01g079060",5
"Solyc01g079450",4
"Solyc01g079850",3
"Solyc01g079890",3
"Solyc01g080260",3
"Solyc01g080580",1
"Solyc01g080780",4
"Solyc01g080860",2
"Solyc01g080990",4
"Solyc01g081080",4
"Solyc01g081110",6
"Solyc01g081290",3
"Solyc01g073660",3
"Solyc01g074040",1
"Solyc01g086710",5
"Solyc01g086745",5
"Solyc01g086830",4
"Solyc01g086840",4
"Solyc01g087320",5
"Solyc01g087385",2
"Solyc01g087910",3
"Solyc01g087970",3
"Solyc01g088280",3
"Solyc01g088630",6
"Solyc01g089930",5
"Solyc01g090040",3
"Solyc01g090170",4
"Solyc01g090200",1
"Solyc01g090550",2
"Solyc01g090640",4
"Solyc01g090645",4
"Solyc01g090730",1
"Solyc01g090780",2
"Solyc01g091010",5
"Solyc01g091040",1
"Solyc01g091540",4
"Solyc01g091900",3
"Solyc01g091920",6
"Solyc01g094030",4
"Solyc01g094140",6
"Solyc01g094220",4
"Solyc01g094237",6
"Solyc01g094410",4
"Solyc01g095300",3
"Solyc01g095810",5
"Solyc01g095870",4
"Solyc01g096050",3
"Solyc01g096140",1
"Solyc01g096170",3
"Solyc01g096205",3
"Solyc01g096230",3
"Solyc01g096370",4
"Solyc01g096380",5
"Solyc01g096490",5
"Solyc01g096525",5
"Solyc01g096540",5
"Solyc01g096740",3
"Solyc01g096950",4
"Solyc01g096960",4
"Solyc01g097190",4
"Solyc01g097430",4
"Solyc01g097640",4
"Solyc01g097720",3
"Solyc01g098110",4
"Solyc01g098240",5
"Solyc01g100600",6
"Solyc01g100750",5
"Solyc01g102990",2
"Solyc01g103650",4
"Solyc01g104030",3
"Solyc01g104070",2
"Solyc01g104435",4
"Solyc01g104436",3
"Solyc01g104945",6
"Solyc01g105190",2
"Solyc01g105220",2
"Solyc01g105520",4
"Solyc01g105650",3
"Solyc01g105700",1
"Solyc01g105890",3
"Solyc01g106160",6
"Solyc01g106200",6
"Solyc01g106253",3
"Solyc01g106330",3
"Solyc01g106630",6
"Solyc01g106947",5
"Solyc01g107000",4
"Solyc01g107340",5
"Solyc01g107810",3
"Solyc01g108610",3
"Solyc01g108780",3
"Solyc01g108930",6
"Solyc01g108975",3
"Solyc01g109210",5
"Solyc01g109200",5
"Solyc01g109460",1
"Solyc01g109570",1
"Solyc01g109600",3
"Solyc01g109860",1
"Solyc01g109960",5
"Solyc01g109970",2
"Solyc01g111145",3
"Solyc01g111610",5
"Solyc01g111840",1
"Solyc01g112270",1
"Solyc01g005000",1
"Solyc01g005010",3
"Solyc01g005060",1
"Solyc01g005080",3
"Solyc01g005100",2
"Solyc01g005120",1
"Solyc01g005240",4
"Solyc01g005280",5
"Solyc01g005400",6
"Solyc01g005570",1
"Solyc01g005790",3
"Solyc01g005850",3
"Solyc01g005860",3
"Solyc01g005880",3
"Solyc01g005970",4
"Solyc01g006080",2
"Solyc01g006150",4
"Solyc01g006200",4
"Solyc01g006390",4
"Solyc01g006400",4
"Solyc01g006410",2
"Solyc01g006420",2
"Solyc01g006530",2
"Solyc01g006545",2
"Solyc01g006565",2
"Solyc01g006570",2
"Solyc01g006575",2
"Solyc01g006580",2
"Solyc01g006590",2
"Solyc01g006600",2
"Solyc01g006620",2
"Solyc01g006640",2
"Solyc01g006720",2
"Solyc01g006730",4
"Solyc01g006830",4
"Solyc01g006840",3
"Solyc01g007080",2
"Solyc01g007130",2
"Solyc01g007260",2
"Solyc01g007760",5
"Solyc01g007870",5
"Solyc01g007920",4
"Solyc01g008350",5
"Solyc01g008497",3
"Solyc01g008500",3
"Solyc01g008510",2
"Solyc01g008530",5
"Solyc01g008540",3
"Solyc01g008580",6
"Solyc01g008590",6
"Solyc01g008610",6
"Solyc01g008620",3
"Solyc01g008640",6
"Solyc01g008650",3
"Solyc01g008710",3
"Solyc01g008720",6
"Solyc01g008740",6
"Solyc01g008790",3
"Solyc01g008830",3
"Solyc01g008870",6
"Solyc01g008973",6
"Solyc01g009210",4
"Solyc01g009245",1
"Solyc01g009307",6
"Solyc01g009370",3
"Solyc01g009390",3
"Solyc01g009500",1
"Solyc01g009860",2
"Solyc01g009900",5
"Solyc01g009970",4
"Solyc01g010035",3
"Solyc01g010055",2
"Solyc01g010080",3
"Solyc01g010130",2
"Solyc01g010135",2
"Solyc01g010150",3
"Solyc01g010180",1
"Solyc01g010200",1
"Solyc01g010240",5
"Solyc01g010250",1
"Solyc01g010270",1
"Solyc01g010295",3
"Solyc01g010310",2
"Solyc01g010390",2
"Solyc01g010460",6
"Solyc01g010502",6
"Solyc01g010506",3
"Solyc01g010508",6
"Solyc01g010530",3
"Solyc01g010550",6
"Solyc01g010600",3
"Solyc01g010640",4
"Solyc01g010700",3
"Solyc01g010710",1
"Solyc01g010740",6
"Solyc01g010750",1
"Solyc01g010780",2
"Solyc01g010910",4
"Solyc01g010937",6
"Solyc01g011095",3
"Solyc01g011230",3
"Solyc01g011333",3
"Solyc01g011375",3
"Solyc01g011393",6
"Solyc01g012670",6
"Solyc01g012700",3
"Solyc01g013915",6
"Solyc01g014103",1
"Solyc01g014245",5
"Solyc01g014375",3
"Solyc01g014495",5
"Solyc01g014533",6
"Solyc01g014643",3
"Solyc01g015070",2
"Solyc01g016470",5
"Solyc01g016540",3
"Solyc01g016697",3
"Solyc01g017485",4
"Solyc01g017720",3
"Solyc01g017790",4
"Solyc01g017793",6
"Solyc01g017970",6
"Solyc01g018041",3
"Solyc01g018046",6
"Solyc01g020115",1
"Solyc01g020155",6
"Solyc01g020290",5
"Solyc01g020372",3
"Solyc01g021675",3
"Solyc01g022760",3
"Solyc01g022780",3
"Solyc01g034063",6
"Solyc01g035225",6
"Solyc01g038235",6
"Solyc01g028830",1
"Solyc01g044373",6
"Solyc01g049650",1
"Solyc01g049685",6
"Solyc01g049918",3
"Solyc01g050040",1
"Solyc01g050047",5
"Solyc01g056883",6
"Solyc01g057003",6
"Solyc01g057117",3
"Solyc01g057185",3
"Solyc01g057275",3
"Solyc01g057375",6
"Solyc01g057680",3
"Solyc01g058007",3
"Solyc01g058010",3
"Solyc01g058100",2
"Solyc01g058160",4
"Solyc01g058245",3
"Solyc01g058260",2
"Solyc01g058320",3
"Solyc01g058380",4
"Solyc01g058400",2
"Solyc01g058470",2
"Solyc01g058500",4
"Solyc01g058510",6
"Solyc01g058520",4
"Solyc01g058530",4
"Solyc01g058670",2
"Solyc01g058733",2
"Solyc01g059740",6
"Solyc01g059853",3
"Solyc01g059882",3
"Solyc01g059930",1
"Solyc01g060030",4
"Solyc01g060200",4
"Solyc01g060205",5
"Solyc01g060210",5
"Solyc01g060240",2
"Solyc01g060245",6
"Solyc01g060260",5
"Solyc01g060312",3
"Solyc01g065510",1
"Solyc01g065540",2
"Solyc01g065530",2
"Solyc01g065710",3
"Solyc01g065985",3
"Solyc01g066010",3
"Solyc01g066420",3
"Solyc01g066430",5
"Solyc01g066450",5
"Solyc01g066457",2
"Solyc01g066520",4
"Solyc01g066680",3
"Solyc01g066720",6
"Solyc01g066790",3
"Solyc01g066820",5
"Solyc01g066860",1
"Solyc01g066865",1
"Solyc01g066913",3
"Solyc01g066917",3
"Solyc01g066940",3
"Solyc01g067045",3
"Solyc01g067120",3
"Solyc01g067130",4
"Solyc01g067140",4
"Solyc01g067143",6
"Solyc01g067147",6
"Solyc01g067170",4
"Solyc01g067190",4
"Solyc01g067255",3
"Solyc01g067275",4
"Solyc01g067277",4
"Solyc01g067295",2
"Solyc01g067404",6
"Solyc01g067870",3
"Solyc01g068030",1
"Solyc01g068140",4
"Solyc01g068155",5
"Solyc01g068250",3
"Solyc01g068360",1
"Solyc01g068490",3
"Solyc01g068567",3
"Solyc01g068580",4
"Solyc01g079370",3
"Solyc01g079375",3
