"ITAG","cluster"
"Solyc01g050070",12
"Solyc01g056205",11
"Solyc01g056345",11
"Solyc01g056520",10
"Solyc01g056790",11
"Solyc01g056850",19
"Solyc01g056875",11
"Solyc01g056915",11
"Solyc01g057045",11
"Solyc01g057270",18
"Solyc01g057285",11
"Solyc01g057340",11
"Solyc01g057440",2
"Solyc01g057465",11
"Solyc01g057477",11
"Solyc01g057777",11
"Solyc01g057850",10
"Solyc01g058030",7
"Solyc01g058720",11
"Solyc01g058730",14
"Solyc01g059830",19
"Solyc01g059857",11
"Solyc01g059860",2
"Solyc01g060140",11
"Solyc01g060185",11
"Solyc01g060318",11
"Solyc01g065624",11
"Solyc01g066055",11
"Solyc01g066100",11
"Solyc01g066205",11
"Solyc01g066287",11
"Solyc01g066440",35
"Solyc01g066525",11
"Solyc01g067020",11
"Solyc01g067125",11
"Solyc01g067210",10
"Solyc01g067273",11
"Solyc01g067460",11
"Solyc01g067510",31
"Solyc01g067530",18
"Solyc01g067650",22
"Solyc01g067660",25
"Solyc01g067710",20
"Solyc01g067755",11
"Solyc01g067800",16
"Solyc01g067860",11
"Solyc01g068170",11
"Solyc01g068190",27
"Solyc01g068410",19
"Solyc01g068420",11
"Solyc01g068460",25
"Solyc01g068500",2
"Solyc01g079060",12
"Solyc01g079450",11
"Solyc01g079850",11
"Solyc01g079890",11
"Solyc01g080260",31
"Solyc01g080580",25
"Solyc01g080780",6
"Solyc01g080860",11
"Solyc01g080990",11
"Solyc01g081080",11
"Solyc01g081110",18
"Solyc01g081290",22
"Solyc01g073660",12
"Solyc01g074040",20
"Solyc01g086710",11
"Solyc01g086745",1
"Solyc01g086830",11
"Solyc01g086840",11
"Solyc01g087320",2
"Solyc01g087385",10
"Solyc01g087910",12
"Solyc01g087970",11
"Solyc01g088280",18
"Solyc01g088630",11
"Solyc01g089930",18
"Solyc01g090040",10
"Solyc01g090170",3
"Solyc01g090200",11
"Solyc01g090550",16
"Solyc01g090640",11
"Solyc01g090645",11
"Solyc01g090730",10
"Solyc01g090780",11
"Solyc01g091010",29
"Solyc01g091040",20
"Solyc01g091540",35
"Solyc01g091900",2
"Solyc01g091920",11
"Solyc01g094030",13
"Solyc01g094140",10
"Solyc01g094220",15
"Solyc01g094237",11
"Solyc01g094410",7
"Solyc01g095300",18
"Solyc01g095810",12
"Solyc01g095870",18
"Solyc01g096050",11
"Solyc01g096140",16
"Solyc01g096170",11
"Solyc01g096205",11
"Solyc01g096230",11
"Solyc01g096370",10
"Solyc01g096380",10
"Solyc01g096490",10
"Solyc01g096525",11
"Solyc01g096540",11
"Solyc01g096740",18
"Solyc01g096950",3
"Solyc01g096960",3
"Solyc01g097190",11
"Solyc01g097430",11
"Solyc01g097640",12
"Solyc01g097720",11
"Solyc01g098110",11
"Solyc01g098240",3
"Solyc01g100600",18
"Solyc01g100750",29
"Solyc01g102990",3
"Solyc01g103650",11
"Solyc01g104030",25
"Solyc01g104070",18
"Solyc01g104435",29
"Solyc01g104436",10
"Solyc01g104945",18
"Solyc01g105190",2
"Solyc01g105220",2
"Solyc01g105520",18
"Solyc01g105650",11
"Solyc01g105700",25
"Solyc01g105890",11
"Solyc01g106160",18
"Solyc01g106200",12
"Solyc01g106253",18
"Solyc01g106330",11
"Solyc01g106630",18
"Solyc01g106947",11
"Solyc01g107000",11
"Solyc01g107340",29
"Solyc01g107810",18
"Solyc01g108610",11
"Solyc01g108780",11
"Solyc01g108930",18
"Solyc01g108975",30
"Solyc01g109210",11
"Solyc01g109200",11
"Solyc01g109460",20
"Solyc01g109570",3
"Solyc01g109600",18
"Solyc01g109860",11
"Solyc01g109960",12
"Solyc01g109970",10
"Solyc01g111145",27
"Solyc01g111610",2
"Solyc01g111840",11
"Solyc01g112270",11
"Solyc01g005000",31
"Solyc01g005010",32
"Solyc01g005060",25
"Solyc01g005080",10
"Solyc01g005100",20
"Solyc01g005120",25
"Solyc01g005240",2
"Solyc01g005280",2
"Solyc01g005400",27
"Solyc01g005570",11
"Solyc01g005790",18
"Solyc01g005850",11
"Solyc01g005860",11
"Solyc01g005880",11
"Solyc01g005970",2
"Solyc01g006080",11
"Solyc01g006150",35
"Solyc01g006200",18
"Solyc01g006390",29
"Solyc01g006400",29
"Solyc01g006410",29
"Solyc01g006420",29
"Solyc01g006530",27
"Solyc01g006545",27
"Solyc01g006565",18
"Solyc01g006570",29
"Solyc01g006575",29
"Solyc01g006580",33
"Solyc01g006590",33
"Solyc01g006600",33
"Solyc01g006620",33
"Solyc01g006640",1
"Solyc01g006720",32
"Solyc01g006730",20
"Solyc01g006830",25
"Solyc01g006840",19
"Solyc01g007080",16
"Solyc01g007130",26
"Solyc01g007260",31
"Solyc01g007760",11
"Solyc01g007870",7
"Solyc01g007920",1
"Solyc01g008350",18
"Solyc01g008497",22
"Solyc01g008500",22
"Solyc01g008510",22
"Solyc01g008530",11
"Solyc01g008540",11
"Solyc01g008580",22
"Solyc01g008590",22
"Solyc01g008610",11
"Solyc01g008620",10
"Solyc01g008640",11
"Solyc01g008650",11
"Solyc01g008710",11
"Solyc01g008720",11
"Solyc01g008740",11
"Solyc01g008790",11
"Solyc01g008830",11
"Solyc01g008870",10
"Solyc01g008973",4
"Solyc01g009210",18
"Solyc01g009245",15
"Solyc01g009307",11
"Solyc01g009370",11
"Solyc01g009390",30
"Solyc01g009500",11
"Solyc01g009860",31
"Solyc01g009900",23
"Solyc01g009970",12
"Solyc01g010035",18
"Solyc01g010055",25
"Solyc01g010080",11
"Solyc01g010130",10
"Solyc01g010135",10
"Solyc01g010150",11
"Solyc01g010180",13
"Solyc01g010200",31
"Solyc01g010240",18
"Solyc01g010250",19
"Solyc01g010270",19
"Solyc01g010295",12
"Solyc01g010310",14
"Solyc01g010390",16
"Solyc01g010460",12
"Solyc01g010502",11
"Solyc01g010506",18
"Solyc01g010508",3
"Solyc01g010530",17
"Solyc01g010550",12
"Solyc01g010600",16
"Solyc01g010640",14
"Solyc01g010700",8
"Solyc01g010710",36
"Solyc01g010740",11
"Solyc01g010750",22
"Solyc01g010780",11
"Solyc01g010910",35
"Solyc01g010937",12
"Solyc01g011095",11
"Solyc01g011230",29
"Solyc01g011333",11
"Solyc01g011375",11
"Solyc01g011393",11
"Solyc01g012670",11
"Solyc01g012700",2
"Solyc01g013915",11
"Solyc01g014103",36
"Solyc01g014245",8
"Solyc01g014375",6
"Solyc01g014495",11
"Solyc01g014533",11
"Solyc01g014643",10
"Solyc01g015070",20
"Solyc01g016470",29
"Solyc01g016540",11
"Solyc01g016697",11
"Solyc01g017485",34
"Solyc01g017720",7
"Solyc01g017790",11
"Solyc01g017793",11
"Solyc01g017970",10
"Solyc01g018041",11
"Solyc01g018046",11
"Solyc01g020115",33
"Solyc01g020155",24
"Solyc01g020290",35
"Solyc01g020372",11
"Solyc01g021675",14
"Solyc01g022760",11
"Solyc01g022780",11
"Solyc01g034063",11
"Solyc01g035225",11
"Solyc01g038235",11
"Solyc01g028830",25
"Solyc01g044373",3
"Solyc01g049650",19
"Solyc01g049685",10
"Solyc01g049918",11
"Solyc01g050040",31
"Solyc01g050047",11
"Solyc01g056883",11
"Solyc01g057003",11
"Solyc01g057117",11
"Solyc01g057185",18
"Solyc01g057275",23
"Solyc01g057375",11
"Solyc01g057680",11
"Solyc01g058007",16
"Solyc01g058010",11
"Solyc01g058100",32
"Solyc01g058160",15
"Solyc01g058245",18
"Solyc01g058260",13
"Solyc01g058320",26
"Solyc01g058380",2
"Solyc01g058400",14
"Solyc01g058470",19
"Solyc01g058500",33
"Solyc01g058510",11
"Solyc01g058520",7
"Solyc01g058530",14
"Solyc01g058670",26
"Solyc01g058733",14
"Solyc01g059740",11
"Solyc01g059853",11
"Solyc01g059882",11
"Solyc01g059930",21
"Solyc01g060030",33
"Solyc01g060200",11
"Solyc01g060205",9
"Solyc01g060210",10
"Solyc01g060240",8
"Solyc01g060245",3
"Solyc01g060260",4
"Solyc01g060312",11
"Solyc01g065510",32
"Solyc01g065540",26
"Solyc01g065530",32
"Solyc01g065710",30
"Solyc01g065985",12
"Solyc01g066010",16
"Solyc01g066420",11
"Solyc01g066430",15
"Solyc01g066450",17
"Solyc01g066457",31
"Solyc01g066520",2
"Solyc01g066680",16
"Solyc01g066720",1
"Solyc01g066790",11
