"ITAG","cluster"
"Solyc01g010550",5
"Solyc01g010600",4
"Solyc01g010640",3
"Solyc01g010700",4
"Solyc01g010710",3
"Solyc01g010740",5
"Solyc01g010750",5
"Solyc01g010780",5
"Solyc01g010910",3
"Solyc01g010937",5
"Solyc01g011095",5
"Solyc01g011230",6
"Solyc01g011333",5
"Solyc01g011375",5
"Solyc01g011393",5
"Solyc01g012670",5
"Solyc01g012700",2
"Solyc01g013915",5
"Solyc01g014103",3
"Solyc01g014245",2
"Solyc01g014375",6
"Solyc01g014495",5
"Solyc01g014533",5
"Solyc01g014643",5
"Solyc01g015070",1
"Solyc01g016470",6
"Solyc01g016540",5
"Solyc01g016697",5
"Solyc01g017485",6
"Solyc01g017720",2
"Solyc01g017790",5
"Solyc01g017793",5
"Solyc01g017970",5
"Solyc01g018041",5
"Solyc01g018046",5
"Solyc01g020115",3
"Solyc01g020155",3
"Solyc01g020290",3
"Solyc01g020372",5
"Solyc01g021675",3
"Solyc01g022760",5
"Solyc01g022780",5
"Solyc01g034063",5
"Solyc01g035225",5
"Solyc01g038235",5
"Solyc01g028830",1
"Solyc01g044373",2
"Solyc01g049650",2
"Solyc01g049685",5
"Solyc01g049918",5
"Solyc01g050040",1
"Solyc01g050047",5
"Solyc01g056883",5
"Solyc01g057003",5
"Solyc01g057117",5
"Solyc01g057185",5
"Solyc01g057275",6
"Solyc01g057375",5
"Solyc01g057680",5
"Solyc01g058007",5
"Solyc01g058010",5
"Solyc01g058100",6
"Solyc01g058160",4
"Solyc01g058245",5
"Solyc01g058260",2
"Solyc01g058320",1
"Solyc01g058380",2
"Solyc01g058400",3
"Solyc01g058470",1
"Solyc01g058500",3
"Solyc01g058510",5
"Solyc01g058520",2
"Solyc01g058530",1
"Solyc01g058670",1
"Solyc01g058733",3
"Solyc01g059740",5
"Solyc01g059853",5
"Solyc01g059882",5
"Solyc01g059930",1
"Solyc01g060030",6
"Solyc01g060200",5
"Solyc01g060205",2
"Solyc01g060210",5
"Solyc01g060240",4
"Solyc01g060245",2
"Solyc01g060260",5
"Solyc01g060312",5
"Solyc01g065510",1
"Solyc01g065540",1
"Solyc01g065530",1
"Solyc01g065710",3
"Solyc01g065985",5
"Solyc01g066010",5
"Solyc01g066420",5
"Solyc01g066430",4
"Solyc01g066450",5
"Solyc01g066457",1
"Solyc01g066520",2
"Solyc01g066680",5
"Solyc01g066720",2
"Solyc01g066790",5
"Solyc01g066820",5
"Solyc01g066860",6
"Solyc01g066865",6
"Solyc01g066913",5
"Solyc01g066917",5
"Solyc01g066940",2
"Solyc01g067045",5
"Solyc01g067120",5
"Solyc01g067130",5
"Solyc01g067140",5
"Solyc01g067143",5
"Solyc01g067147",5
"Solyc01g067170",5
"Solyc01g067190",5
"Solyc01g067255",5
"Solyc01g067275",5
"Solyc01g067277",5
"Solyc01g067295",2
"Solyc01g067404",5
"Solyc01g067870",5
"Solyc01g068030",4
"Solyc01g068140",2
"Solyc01g068155",2
"Solyc01g068250",5
"Solyc01g068360",1
"Solyc01g068490",2
"Solyc01g068567",5
"Solyc01g068580",2
"Solyc01g079370",5
"Solyc01g079375",5
"Solyc01g079400",5
"Solyc01g079740",4
"Solyc01g079830",4
"Solyc01g079880",1
"Solyc01g079900",5
"Solyc01g079910",5
"Solyc01g079920",5
"Solyc01g079925",5
"Solyc01g079930",5
"Solyc01g079940",4
"Solyc01g079950",4
"Solyc01g079960",2
"Solyc01g079970",5
"Solyc01g079980",2
"Solyc01g079990",5
"Solyc01g080000",5
"Solyc01g080010",4
"Solyc01g080030",5
"Solyc01g080050",5
"Solyc01g080055",5
"Solyc01g080100",4
"Solyc01g080170",1
"Solyc01g080460",5
"Solyc01g080550",2
"Solyc01g080770",1
"Solyc01g080870",5
"Solyc01g080930",2
"Solyc01g081010",5
"Solyc01g081130",5
"Solyc01g081200",5
"Solyc01g081220",5
"Solyc01g081250",5
"Solyc01g081540",2
"Solyc01g081560",2
"Solyc01g081570",1
"Solyc01g081630",2
"Solyc01g081640",2
"Solyc01g073640",3
"Solyc01g073670",3
"Solyc01g073680",3
"Solyc01g073695",6
"Solyc01g073700",6
"Solyc01g073725",5
"Solyc01g073740",2
"Solyc01g086700",5
"Solyc01g086920",2
"Solyc01g086950",5
"Solyc01g086953",5
"Solyc01g087030",5
"Solyc01g087050",2
"Solyc01g087360",5
"Solyc01g087410",2
"Solyc01g088010",5
"Solyc01g088050",5
"Solyc01g088140",6
"Solyc01g088660",1
"Solyc01g088810",2
"Solyc01g089903",2
"Solyc01g089980",1
"Solyc01g090300",5
"Solyc01g090380",4
"Solyc01g090425",5
"Solyc01g090460",2
"Solyc01g090465",5
"Solyc01g090480",5
"Solyc01g090530",5
"Solyc01g090590",5
"Solyc01g090600",5
"Solyc01g090610",5
"Solyc01g090630",5
"Solyc01g090660",5
"Solyc01g090680",5
"Solyc01g090690",5
"Solyc01g090700",5
"Solyc01g090710",5
"Solyc01g090740",5
"Solyc01g090760",5
"Solyc01g090770",5
"Solyc01g090795",5
"Solyc01g090800",1
"Solyc01g090900",5
"Solyc01g090970",1
"Solyc01g091000",3
"Solyc01g091130",3
"Solyc01g091170",6
"Solyc01g091165",6
"Solyc01g091650",5
"Solyc01g091700",1
"Solyc01g091705",5
"Solyc01g091770",5
"Solyc01g091800",5
"Solyc01g093975",5
"Solyc01g094040",5
"Solyc01g094170",2
"Solyc01g094180",5
"Solyc01g094725",5
"Solyc01g094890",5
"Solyc01g095070",4
"Solyc01g095140",6
"Solyc01g095150",6
"Solyc01g095160",5
"Solyc01g095370",1
"Solyc01g095440",5
"Solyc01g095530",1
"Solyc01g095680",5
"Solyc01g095700",1
"Solyc01g096060",5
"Solyc01g096090",1
"Solyc01g096120",4
"Solyc01g096130",5
"Solyc01g096150",5
"Solyc01g096160",5
"Solyc01g096175",5
"Solyc01g096180",5
"Solyc01g096185",5
"Solyc01g096193",5
"Solyc01g096197",5
"Solyc01g096200",5
"Solyc01g096210",5
"Solyc01g096220",2
"Solyc01g096250",4
"Solyc01g096255",5
"Solyc01g096260",4
"Solyc01g096280",4
"Solyc01g096300",5
"Solyc01g096320",5
"Solyc01g096330",5
"Solyc01g096340",5
"Solyc01g096400",5
"Solyc01g096410",5
"Solyc01g096420",5
"Solyc01g096430",5
"Solyc01g096435",5
"Solyc01g096440",5
"Solyc01g096450",2
"Solyc01g096510",5
"Solyc01g096520",5
"Solyc01g096620",5
"Solyc01g096630",5
"Solyc01g096650",5
"Solyc01g096670",5
"Solyc01g096690",5
"Solyc01g096720",5
"Solyc01g096930",5
"Solyc01g096980",5
"Solyc01g097070",5
"Solyc01g097095",5
"Solyc01g097170",5
"Solyc01g097230",5
"Solyc01g097290",1
"Solyc01g097330",5
"Solyc01g097340",1
"Solyc01g097700",5
"Solyc01g097710",5
"Solyc01g097880",5
"Solyc01g098190",2
"Solyc01g098410",1
"Solyc01g098450",2
"Solyc01g098500",1
"Solyc01g098520",1
"Solyc01g098560",1
"Solyc01g099000",5
"Solyc01g100105",5
"Solyc07g021730",5
"Solyc01g100880",1
"Solyc01g100930",1
